Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,4.032724,3.945999,3.989362,1.625809,271547
1980-03-18,0.000000,4.003816,3.945999,3.974907,1.619918,376188
1980-03-19,0.000000,4.104995,4.018270,4.047179,1.649371,858746
1980-03-20,0.000000,4.047179,4.018270,4.032724,1.643480,144422
1980-03-21,0.000000,4.032724,3.989362,4.032724,1.643480,106370
1980-03-24,0.000000,4.003816,3.888182,3.888182,1.584573,744593
1980-03-25,0.000000,3.902636,3.830365,3.844820,1.566902,112424
1980-03-26,0.000000,3.902636,3.830365,3.859274,1.572794,94263
1980-03-27,0.000000,3.844820,3.815911,3.830365,1.561012,133179
1980-03-28,0.000000,4.047179,3.859274,4.003816,1.631699,152205
1980-03-31,0.000000,4.032724,3.989362,4.018270,1.637589,181608
1980-04-01,0.000000,4.018270,3.931545,3.960453,1.614027,336407
1980-04-02,0.000000,3.931545,3.815911,3.902636,1.590464,1004898
1980-04-03,0.000000,3.815911,3.729186,3.772549,1.537449,418563
1980-04-07,0.000000,3.801457,3.743640,3.787003,1.543340,635628
1980-04-08,0.000000,3.844820,3.729186,3.815911,1.555120,486882
1980-04-09,0.000000,3.960453,3.873728,3.945999,1.608137,211876
1980-04-10,0.000000,4.047179,3.989362,4.047179,1.649371,40646
1980-04-11,0.000000,4.235083,4.104995,4.235083,1.725949,82156
1980-04-14,0.000000,4.235083,4.191721,4.191721,1.708277,133179
1980-04-15,0.000000,4.191721,4.133904,4.162812,1.696495,142692
1980-04-16,0.000000,4.133904,4.061633,4.076087,1.661151,457479
1980-04-17,0.000000,4.076087,3.931545,3.931545,1.602247,449696
1980-04-18,0.000000,3.960453,3.815911,3.844820,1.566902,270682
1980-04-21,0.000000,3.815911,3.772549,3.787003,1.543340,140098
1980-04-22,0.000000,4.076087,3.815911,4.076087,1.661151,378782
1980-04-23,0.000000,4.162812,4.032724,4.090541,1.667043,315652
1980-04-24,0.000000,4.220629,4.076087,4.191721,1.708277,84750
1980-04-25,0.000000,4.307354,4.177266,4.263992,1.737730,35457
1980-04-28,0.000000,4.292900,4.235083,4.278446,1.743621,110694
1980-04-29,0.000000,4.350717,4.249537,4.321809,1.761292,255981
1980-04-30,0.000000,4.394080,4.292900,4.394080,1.790746,267223
1980-05-01,0.000000,4.480805,4.379625,4.379625,1.784854,677138
1980-05-02,0.000000,4.365171,4.321809,4.336263,1.767185,364081
1980-05-05,0.000000,4.394080,4.365171,4.365171,1.778965,681462
1980-05-06,0.000000,4.408534,4.321809,4.379625,1.784854,608819
1980-05-07,0.000000,4.379625,4.278446,4.278446,1.743621,327759
1980-05-08,0.000000,4.278446,4.162812,4.162812,1.696495,134044
1980-05-09,0.000000,4.162812,4.018270,4.047179,1.649371,79562
1980-05-12,0.000000,4.018270,3.873728,3.931545,1.602247,614008
1980-05-13,0.000000,3.945999,3.873728,3.945999,1.608137,604495
1980-05-14,0.000000,4.018270,3.931545,4.003816,1.631699,443642
1980-05-15,0.000000,4.003816,3.945999,3.945999,1.608137,678003
1980-05-16,0.000000,3.974907,3.917091,3.960453,1.614027,126261
1980-05-19,0.000000,3.989362,3.945999,3.960453,1.614027,402997
1980-05-20,0.000000,3.989362,3.931545,3.989362,1.625809,83886
1980-05-21,0.000000,3.989362,3.917091,3.974907,1.619918,269818
1980-05-22,0.000000,4.379625,3.960453,4.191721,1.708277,1090513
1980-05-23,0.000000,4.336263,4.249537,4.336263,1.767185,1250501
1980-05-27,0.000000,4.379625,4.336263,4.365171,1.778965,104641
1980-05-28,0.000000,4.365171,4.307354,4.350717,1.773074,63130
1980-05-29,0.000000,4.350717,4.235083,4.278446,1.743621,704812
1980-05-30,0.000000,4.336263,4.191721,4.336263,1.767185,71778
1980-06-02,0.000000,4.336263,4.278446,4.292900,1.749513,31998
1980-06-03,0.000000,4.336263,4.235083,4.336263,1.767185,316517
1980-06-04,0.000000,4.451896,4.321809,4.451896,1.814308,223983
1980-06-05,0.000000,4.596438,4.437442,4.451896,1.814308,204093
1980-06-06,0.000000,4.451896,4.365171,4.379625,1.784854,180743
1980-06-09,0.000000,4.379625,4.278446,4.278446,1.743621,113289
1980-06-10,0.000000,4.379625,4.278446,4.350717,1.773074,154799
1980-06-11,0.000000,4.379625,4.336263,4.365171,1.778965,411645
1980-06-12,0.000000,4.394080,4.336263,4.394080,1.790746,173825
1980-06-13,0.000000,4.538622,4.408534,4.509713,1.837872,61401
1980-06-16,0.000000,4.639801,4.495259,4.610893,1.879104,236955
1980-06-17,0.000000,4.625347,4.553076,4.581984,1.867323,119342
1980-06-18,0.000000,4.596438,4.509713,4.538622,1.849652,50158
1980-06-19,0.000000,4.581984,4.509713,4.524167,1.843761,46699
1980-06-20,0.000000,4.495259,4.437442,4.451896,1.814308,94263
1980-06-23,0.000000,4.553076,4.466351,4.466351,1.820199,318246
1980-06-24,0.000000,4.480805,4.379625,4.451896,1.814308,535311
1980-06-25,0.000000,4.610893,4.437442,4.567530,1.861434,326894
1980-06-26,0.000000,4.610893,4.509713,4.581984,1.867323,259440
1980-06-27,0.000000,4.712072,4.581984,4.654255,1.896777,201498
1980-06-30,0.000000,4.596438,4.480805,4.480805,1.826089,671950
1980-07-01,0.000000,4.495259,4.451896,4.480805,1.826089,236955
1980-07-02,0.000000,4.567530,4.466351,4.567530,1.861434,195445
1980-07-03,0.000000,4.827706,4.625347,4.798797,1.955683,223983
1980-07-07,0.000000,4.914431,4.798797,4.914431,2.002807,522339
1980-07-08,0.000000,4.943340,4.914431,4.943340,2.014590,170366
1980-07-09,0.000000,4.943340,4.899977,4.899977,1.996918,291438
1980-07-10,0.000000,4.914431,4.784343,4.813252,1.961574,130585
1980-07-11,0.000000,4.899977,4.827706,4.856614,1.979246,274142
1980-07-14,0.000000,4.914431,4.813252,4.914431,2.002807,212741
1980-07-15,0.000000,5.145698,5.001156,5.131244,2.091166,525798
1980-07-16,0.000000,5.160153,5.087882,5.116790,2.085276,205822
1980-07-17,0.000000,5.073427,5.058973,5.073427,2.067605,283654
1980-07-18,0.000000,5.102336,4.943340,5.015611,2.044042,311328
1980-07-21,0.000000,5.044519,4.972248,5.030065,2.049932,166906
1980-07-22,0.000000,5.087882,5.001156,5.015611,2.044042,307004
1980-07-23,0.000000,5.044519,4.957794,5.001156,2.038152,153070
1980-07-24,0.000000,5.015611,4.740981,4.740981,1.932120,236090
1980-07-25,0.000000,4.712072,4.625347,4.668710,1.902667,513691
1980-07-28,0.000000,4.769889,4.596438,4.769889,1.943902,586334
1980-07-29,0.000000,5.001156,4.928885,5.001156,2.038152,370999
1980-07-30,0.000000,5.116790,4.986702,5.001156,2.038152,764483
1980-07-31,0.000000,5.203515,4.957794,5.203515,2.120620,302680
1980-08-01,0.000000,5.261332,5.160153,5.246878,2.138291,350244
1980-08-04,0.000000,5.261332,5.145698,5.145698,2.097057,645141
1980-08-05,0.000000,5.145698,5.087882,5.102336,2.079386,197174
1980-08-06,0.000000,5.087882,5.030065,5.044519,2.055823,240414
1980-08-07,0.000000,5.145698,5.058973,5.145698,2.097057,376188
1980-08-08,0.000000,5.290241,5.217969,5.217969,2.126511,836262
1980-08-11,0.000000,5.203515,5.102336,5.174607,2.108840,837991
1980-08-12,0.000000,5.261332,5.145698,5.174607,2.108840,287978
1980-08-13,0.000000,5.232424,5.131244,5.232424,2.132401,380512
1980-08-14,0.000000,5.405874,5.232424,5.405874,2.203088,443642
1980-08-15,0.000000,5.550416,5.507054,5.521508,2.250214,616602
1980-08-18,0.000000,5.492599,5.420328,5.434783,2.214869,971170
1980-08-19,0.000000,5.420328,5.362512,5.376966,2.191306,523204
1980-08-20,0.000000,5.449237,5.319149,5.449237,2.220760,112424
1980-08-21,0.000000,5.579325,5.463691,5.550416,2.261994,541365
1980-08-22,0.000000,5.637142,5.550416,5.637142,2.297339,653789
1980-08-25,0.000000,5.593779,5.550416,5.550416,2.261994,131450
1980-08-26,0.000000,5.550416,5.492599,5.507054,2.244323,528393
1980-08-27,0.000000,5.478145,5.376966,5.376966,2.191306,294032
