Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,2.222222,2.194444,2.208333,0.506181,183600
1980-03-18,0.000000,2.250000,2.194444,2.236111,0.512548,73800
1980-03-19,0.000000,2.277778,2.236111,2.277778,0.522099,164700
1980-03-20,0.000000,2.333333,2.277778,2.333333,0.534833,87300
1980-03-21,0.000000,2.375000,2.361111,2.361111,0.541200,104400
1980-03-24,0.000000,2.375000,2.277778,2.277778,0.522099,129600
1980-03-25,0.000000,2.263889,2.236111,2.250000,0.515732,299700
1980-03-26,0.000000,2.291667,2.250000,2.277778,0.522099,114300
1980-03-27,0.000000,2.277778,2.250000,2.263889,0.518915,54000
1980-03-28,0.000000,2.250000,2.208333,2.250000,0.515732,144000
1980-03-31,0.000000,2.263889,2.236111,2.263889,0.518915,184500
1980-04-01,0.000000,2.333333,2.263889,2.333333,0.534833,120600
1980-04-02,0.000000,2.430556,2.361111,2.430556,0.557118,90900
1980-04-03,0.000000,2.541667,2.444444,2.541667,0.582586,25200
1980-04-07,0.000000,2.541667,2.527778,2.527778,0.579402,34200
1980-04-08,0.000000,2.541667,2.486111,2.541667,0.582586,68400
1980-04-09,0.000000,2.625000,2.541667,2.611111,0.598504,168300
1980-04-10,0.000000,2.750000,2.680556,2.680556,0.614422,183600
1980-04-11,0.000000,2.708333,2.666667,2.666667,0.611238,174600
1980-04-14,0.000000,2.680556,2.638889,2.666667,0.611238,351900
1980-04-15,0.000000,2.652778,2.583333,2.583333,0.592137,85500
1980-04-16,0.000000,2.777778,2.597222,2.722222,0.623972,323100
1980-04-17,0.000000,2.722222,2.666667,2.722222,0.623972,307800
1980-04-18,0.000000,2.750000,2.694444,2.708333,0.620789,48600
1980-04-21,0.000000,2.708333,2.666667,2.666667,0.611238,44100
1980-04-22,0.000000,2.680556,2.652778,2.680556,0.614422,216900
1980-04-23,0.000000,2.708333,2.666667,2.694444,0.617605,579600
1980-04-24,0.000000,2.694444,2.652778,2.666667,0.611238,518400
1980-04-25,0.000000,2.680556,2.638889,2.680556,0.614422,126000
1980-04-28,0.000000,2.708333,2.666667,2.694444,0.617605,91800
1980-04-29,0.000000,2.722222,2.694444,2.708333,0.620789,316800
1980-04-30,0.000000,2.722222,2.680556,2.722222,0.623972,78300
1980-05-01,0.000000,2.722222,2.680556,2.722222,0.623972,75600
1980-05-02,0.000000,2.652778,2.625000,2.638889,0.604871,85500
1980-05-05,0.000000,2.652778,2.625000,2.652778,0.608054,63900
1980-05-06,0.000000,2.750000,2.652778,2.708333,0.620789,88200
1980-05-07,0.000000,2.777778,2.722222,2.763889,0.633523,94500
1980-05-08,0.000000,2.763889,2.694444,2.708333,0.620789,836100
1980-05-09,0.000000,2.708333,2.680556,2.708333,0.620789,45000
1980-05-12,0.000000,2.708333,2.680556,2.694444,0.617605,78300
1980-05-13,0.000000,2.680556,2.638889,2.652778,0.608054,532800
1980-05-14,0.000000,2.680556,2.652778,2.666667,0.611238,76500
1980-05-15,0.000000,2.666667,2.652778,2.666667,0.611238,104400
1980-05-16,0.000000,2.666667,2.652778,2.652778,0.608054,90900
1980-05-19,0.000000,2.666667,2.638889,2.652778,0.608054,70200
1980-05-20,0.000000,2.694444,2.652778,2.694444,0.617605,111600
1980-05-21,0.000000,2.680556,2.652778,2.680556,0.614422,91800
1980-05-22,0.000000,2.694444,2.666667,2.694444,0.617605,135000
1980-05-23,0.000000,2.722222,2.680556,2.722222,0.623972,111600
1980-05-27,0.000000,2.722222,2.694444,2.708333,0.620789,115200
1980-05-28,0.000000,2.736111,2.694444,2.722222,0.623972,214200
1980-05-29,0.000000,2.791667,2.736111,2.750000,0.630340,138600
1980-05-30,0.000000,2.805556,2.736111,2.777778,0.636706,92700
1980-06-02,0.000000,2.777778,2.736111,2.763889,0.633523,174600
1980-06-03,0.000000,2.750000,2.722222,2.750000,0.630340,244800
1980-06-04,0.000000,2.763889,2.722222,2.763889,0.633523,89100
1980-06-05,0.000000,2.791667,2.763889,2.791667,0.639890,159300
1980-06-06,0.000000,2.805556,2.763889,2.805556,0.643073,73800
1980-06-09,0.000000,2.819444,2.777778,2.805556,0.643073,106200
1980-06-10,0.000000,2.805556,2.777778,2.777778,0.636706,126900
1980-06-11,0.000000,2.861111,2.777778,2.819444,0.646256,510300
1980-06-12,0.000000,2.847222,2.805556,2.833333,0.649440,508500
1980-06-13,0.000000,2.861111,2.819444,2.861111,0.655807,141300
1980-06-16,0.000000,2.888889,2.833333,2.861111,0.655807,757800
1980-06-17,0.000000,2.916667,2.861111,2.888889,0.662175,1425600
1980-06-18,0.000000,2.930556,2.902778,2.916667,0.668542,101700
1980-06-19,0.000000,2.986111,2.861111,2.902778,0.665358,67500
1980-06-20,0.000000,2.902778,2.875000,2.902778,0.665358,63900
1980-06-23,0.000000,2.916667,2.875000,2.902778,0.665358,68400
1980-06-24,0.000000,2.902778,2.875000,2.888889,0.662175,233100
1980-06-25,0.000000,2.902778,2.875000,2.888889,0.662175,58500
1980-06-26,0.000000,2.902778,2.861111,2.888889,0.662175,88200
1980-06-27,0.000000,2.888889,2.847222,2.888889,0.662175,300600
1980-06-30,0.000000,2.888889,2.805556,2.833333,0.649440,73800
1980-07-01,0.000000,2.847222,2.819444,2.833333,0.649440,126900
1980-07-02,0.000000,2.819444,2.777778,2.791667,0.639890,172800
1980-07-03,0.000000,2.791667,2.763889,2.791667,0.639890,130500
1980-07-07,0.000000,2.777778,2.736111,2.777778,0.636706,140400
1980-07-08,0.000000,2.819444,2.777778,2.805556,0.643073,100800
1980-07-09,0.000000,2.805556,2.750000,2.805556,0.643073,106200
1980-07-10,0.000000,2.819444,2.777778,2.805556,0.643073,49500
1980-07-11,0.000000,2.805556,2.777778,2.777778,0.636706,101700
1980-07-14,0.000000,2.805556,2.791667,2.805556,0.643073,61200
1980-07-15,0.000000,2.805556,2.777778,2.777778,0.636706,315000
1980-07-16,0.000000,2.805556,2.777778,2.805556,0.643073,54000
1980-07-17,0.000000,2.805556,2.791667,2.791667,0.639890,58500
1980-07-18,0.000000,2.805556,2.791667,2.805556,0.643073,79200
1980-07-21,0.000000,2.833333,2.791667,2.833333,0.649440,132300
1980-07-22,0.000000,2.819444,2.791667,2.791667,0.639890,234900
1980-07-23,0.000000,2.819444,2.791667,2.791667,0.639890,172800
1980-07-24,0.000000,2.819444,2.791667,2.791667,0.639890,172800
1980-07-25,0.000000,2.819444,2.791667,2.819444,0.646256,160200
1980-07-28,0.000000,2.819444,2.777778,2.805556,0.643073,187200
1980-07-29,0.000000,2.805556,2.777778,2.805556,0.643073,140400
1980-07-30,0.000000,2.805556,2.763889,2.777778,0.636706,170100
1980-07-31,0.000000,2.777778,2.694444,2.708333,0.620789,726300
1980-08-01,0.000000,2.708333,2.694444,2.694444,0.617605,450000
1980-08-04,0.000000,2.638889,2.611111,2.638889,0.604871,223200
1980-08-05,0.000000,2.638889,2.611111,2.611111,0.598504,531000
1980-08-06,0.000000,2.625000,2.597222,2.597222,0.595320,112500
1980-08-07,0.000000,2.611111,2.569444,2.583333,0.592137,130500
1980-08-08,0.000000,2.597222,2.569444,2.569444,0.588953,471600
1980-08-11,0.000000,2.583333,2.555556,2.569444,0.588953,234000
1980-08-12,0.000000,2.583333,2.569444,2.583333,0.592137,130500
1980-08-13,0.000000,2.597222,2.569444,2.597222,0.595320,143100
1980-08-14,0.000000,2.611111,2.597222,2.611111,0.598504,115200
1980-08-15,0.000000,2.611111,2.597222,2.611111,0.598504,77400
1980-08-18,0.000000,2.611111,2.583333,2.583333,0.592137,108900
1980-08-19,0.000000,2.611111,2.569444,2.583333,0.592137,86400
1980-08-20,0.000000,2.597222,2.569444,2.597222,0.595320,74700
1980-08-21,0.000000,2.625000,2.583333,2.611111,0.598504,181800
1980-08-22,0.000000,2.694444,2.625000,2.694444,0.617605,58500
1980-08-25,0.000000,2.708333,2.680556,2.708333,0.620789,42300
1980-08-26,0.000000,2.763889,2.708333,2.750000,0.630340,63900
1980-08-27,0.000000,2.736111,2.680556,2.708333,0.620789,1384200
1980-08-28,0.000000,2.694444,2.680556,2.694444,0.617605,48600
1980-08-29,0.000000,2.694444,2.680556,2.680556,0.614422,162900
1980-09-02,0.000000,2.694444,2.666667,2.680556,0.614422,163800
1980-09-03,0.000000,2.680556,2.638889,2.652778,0.608054,414900
1980-09-04,0.000000,2.666667,2.652778,2.666667,0.611238,575100
1980-09-05,0.000000,2.680556,2.625000,2.625000,0.601687,63000
1980-09-08,0.000000,2.652778,2.583333,2.611111,0.598504,142200
1980-09-09,0.000000,2.638889,2.583333,2.638889,0.604871,44100
1980-09-10,0.000000,2.652778,2.597222,2.625000,0.601687,128700
1980-09-11,0.000000,2.638889,2.625000,2.638889,0.604871,53100
1980-09-12,0.000000,2.625000,2.611111,2.611111,0.598504,65700
1980-09-15,0.000000,2.625000,2.555556,2.583333,0.592137,156600
1980-09-16,0.000000,2.569444,2.513889,2.527778,0.579402,150300
1980-09-17,0.000000,2.583333,2.513889,2.583333,0.592137,95400
1980-09-18,0.000000,2.583333,2.541667,2.555556,0.585770,46800
1980-09-19,0.000000,2.597222,2.541667,2.597222,0.595320,142200
1980-09-22,0.000000,2.597222,2.555556,2.555556,0.585770,129600
1980-09-23,0.000000,2.569444,2.555556,2.555556,0.585770,72000
1980-09-24,0.000000,2.583333,2.555556,2.583333,0.592137,99900
