""	"X"	"ES"	"VAR"	"Date"	"P1"	"P2"	"P3"	"P4"	"P5"	"P6"	"Scale"	"Location"
"1"	-0.0186921330121525	0.0265382607999644	0.022308082278436	1983-12-29	0	0	0	0	0	0	1	0
"2"	0.00938974034983914	0.0266956443672899	0.0224629800610539	1983-12-30	0	0	0	0	0	0	1	0
"3"	0.0276515313305099	0.0266390583672686	0.0224040602358039	1984-01-03	0	0	0	0	0	0	1	0
"4"	0.0357180826020792	0.0268017893162082	0.0225334026797546	1984-01-04	0	0	0	0	0	0	1	0
"5"	0.0259754864032607	0.0271961902844188	0.0228463228887773	1984-01-05	0	0	0	0	0	0	1	0
"6"	0	0.0273750176789443	0.0229847490982518	1984-01-06	0	0	0	0	0	0	1	0
"7"	0	0.0273795041950227	0.0229937433901656	1984-01-09	0	0	0	0	0	0	1	0
"8"	-0.00858374369139144	0.0273795041950227	0.0229937433901656	1984-01-10	0	0	0	0	0	0	1	0
"9"	-0.00865806274311454	0.0274418743607066	0.0230515843147618	1984-01-11	0	0	0	0	0	0	1	0
"10"	0	0.0275047739561718	0.0231099171634376	1984-01-12	0	0	0	0	0	0	1	0
"11"	0.00865806274311453	0.0275088078158798	0.0231184898987872	1984-01-13	0	0	0	0	0	0	1	0
"12"	-0.0350913198112701	0.0275066352243712	0.0231110732686785	1984-01-16	0	0	0	0	0	0	1	0
"13"	0	0.0281327306725217	0.0236638455138918	1984-01-17	0	0	0	0	0	0	1	0
"14"	-0.0180185055026784	0.0281327306725217	0.0236638455138918	1984-01-18	0	0	0	0	0	0	1	0
"15"	-0.00913248356327247	0.0282724391580288	0.0237874780669109	1984-01-19	0	0	0	0	0	0	1	0
"16"	0	0.0280165861053098	0.0235631626340092	1984-01-20	0	0	0	0	0	0	1	0
"17"	0	0.0280196619178697	0.0235710168449614	1984-01-23	0	0	0	0	0	0	1	0
"18"	-0.0185190477672375	0.0280226848247427	0.0235787839818809	1984-01-24	0	0	0	0	0	0	1	0
"19"	0	0.0281793342498524	0.0237324330182708	1984-01-25	0	0	0	0	0	0	1	0
"20"	-0.0188684843043828	0.0281261952623652	0.023682729721316	1984-01-26	0	0	0	0	0	0	1	0
"21"	-0.00956945101615067	0.0283334559611579	0.0238686995354813	1984-01-27	0	0	0	0	0	0	1	0
"22"	0	0.0284026307537506	0.0239328827476587	1984-01-30	0	0	0	0	0	0	1	0
"23"	0.0377403279828471	0.028349491744573	0.0238831380729697	1984-01-31	0	0	0	0	0	0	1	0
"24"	0	0.028780108411583	0.0242249881495577	1984-02-01	0	0	0	0	0	0	1	0
"25"	0.0183491386681966	0.0287264189871199	0.0241747819822353	1984-02-02	0	0	0	0	0	0	1	0
"26"	0	0.0287952148532496	0.0242257964397127	1984-02-03	0	0	0	0	0	0	1	0
"27"	0	0.0287952148532496	0.0242257964397127	1984-02-06	0	0	0	0	0	0	1	0
"28"	0	0.0287952148532496	0.0242257964397127	1984-02-07	0	0	0	0	0	0	1	0
"29"	-0.00913248356327247	0.0287411351713231	0.0241752630631915	1984-02-08	0	0	0	0	0	0	1	0
"30"	-0.00921665510492395	0.0288102819023999	0.0242443309373763	1984-02-09	0	0	0	0	0	0	1	0
"31"	-0.0186921330121525	0.0288760612999178	0.0243054393148759	1984-02-10	0	0	0	0	0	0	1	0
"32"	-0.0190481949706945	0.0290770414608072	0.0244860292848528	1984-02-13	0	0	0	0	0	0	1	0
"33"	0.00956945101615067	0.0291268378440207	0.0245296669872295	1984-02-14	0	0	0	0	0	0	1	0
"34"	0.00947874395454374	0.0291286560251687	0.0245250074388621	1984-02-15	0	0	0	0	0	0	1	0
"35"	-0.00947874395454377	0.029133148718431	0.0245278815346895	1984-02-16	0	0	0	0	0	0	1	0
"36"	0.00947874395454374	0.0292009165079156	0.0245908264360177	1984-02-17	0	0	0	0	0	0	1	0
"37"	-0.00947874395454377	0.0292056056750317	0.0245938232349055	1984-02-21	0	0	0	0	0	0	1	0
"38"	0	0.0292762100879016	0.0246642956959023	1984-02-22	0	0	0	0	0	0	1	0
"39"	0	0.0292242952113338	0.0246156187479366	1984-02-23	0	0	0	0	0	0	1	0
"40"	0.00947874395454374	0.0291817703409725	0.0245902217185194	1984-02-24	0	0	0	0	0	0	1	0
"41"	0.0279087881170767	0.0291871206127062	0.0245936506846133	1984-02-27	0	0	0	0	0	0	1	0
"42"	0	0.0293893948349348	0.0247452111006885	1984-02-28	0	0	0	0	0	0	1	0
