""	"X"	"ES"	"VAR"	"Date"	"P1"	"P2"	"P3"	"P4"	"P5"	"P6"	"Scale"	"Location"
"1"	0.00732604009207288	0.0232263158854784	0.0193006171581958	1983-12-29	0	0	0	0	0	0	1	0
"2"	0.00727275932907988	0.0232140450790645	0.0192855945186727	1983-12-30	0	0	0	0	0	0	1	0
"3"	0.0072202479734871	0.0232014854705759	0.0192703641658719	1984-01-03	0	0	0	0	0	0	1	0
"4"	0	0.0231886459564229	0.0192549330617311	1984-01-04	0	0	0	0	0	0	1	0
"5"	0	0.0231886459564229	0.0192549330617311	1984-01-05	0	0	0	0	0	0	1	0
"6"	0	0.0231886459564229	0.0192549330617311	1984-01-06	0	0	0	0	0	0	1	0
"7"	-0.0291991546922624	0.0231886459564229	0.0192549330617311	1984-01-09	0	0	0	0	0	0	1	0
"8"	0	0.0237152125778745	0.0197152990591854	1984-01-10	0	0	0	0	0	0	1	0
"9"	0	0.0236260380559576	0.0196342874355974	1984-01-11	0	0	0	0	0	0	1	0
"10"	-0.00743497848751809	0.0236260380559576	0.0196342874355974	1984-01-12	0	0	0	0	0	0	1	0
"11"	-0.0150378773645406	0.0236873551309436	0.0196905030445147	1984-01-13	0	0	0	0	0	0	1	0
"12"	-0.0229895182246987	0.0238611819961571	0.0198459650234875	1984-01-16	0	0	0	0	0	0	1	0
"13"	0.0153849188394795	0.0242044206329047	0.0201486078869568	1984-01-17	0	0	0	0	0	0	1	0
"14"	0	0.0241447834234264	0.0200823586661368	1984-01-18	0	0	0	0	0	0	1	0
"15"	-0.0153849188394795	0.0241447834234264	0.0200823586661368	1984-01-19	0	0	0	0	0	0	1	0
"16"	-0.0314986670593711	0.0237865075524616	0.0197726146834152	1984-01-20	0	0	0	0	0	0	1	0
"17"	-0.0747235461959364	0.0243741053177209	0.0202856378998743	1984-01-23	0	0	0	0	0	0	1	0
"18"	0	0.0270345694940683	0.0225645773037124	1984-01-24	0	0	0	0	0	0	1	0
"19"	0.00858374369139144	0.0270345694940683	0.0225645773037124	1984-01-25	0	0	0	0	0	0	1	0
"20"	0.00851068966790861	0.0270250113249551	0.0225510163037816	1984-01-26	0	0	0	0	0	0	1	0
"21"	0.0333364202675917	0.0270150361233263	0.0225371528543946	1984-01-27	0	0	0	0	0	0	1	0
"22"	0	0.0272982170640421	0.0227530416017014	1984-01-30	0	0	0	0	0	0	1	0
"23"	0	0.0272982170640421	0.0227530416017014	1984-01-31	0	0	0	0	0	0	1	0
"24"	0	0.0272105902232911	0.0226730106762502	1984-02-01	0	0	0	0	0	0	1	0
"25"	0	0.0272105902232911	0.0226730106762502	1984-02-02	0	0	0	0	0	0	1	0
"26"	0	0.0272105902232911	0.0226730106762502	1984-02-03	0	0	0	0	0	0	1	0
"27"	-0.0165293019512106	0.0272177021346054	0.0226855343071207	1984-02-06	0	0	0	0	0	0	1	0
"28"	-0.0168071183163813	0.0274008196677728	0.0228497497867063	1984-02-07	0	0	0	0	0	0	1	0
"29"	-0.00851068966790862	0.0275874606057439	0.0230170989765631	1984-02-08	0	0	0	0	0	0	1	0
"30"	-0.0259754864032607	0.027660197330588	0.023090079226588	1984-02-09	0	0	0	0	0	0	1	0
"31"	0	0.0280417185951484	0.0234331796706904	1984-02-10	0	0	0	0	0	0	1	0
"32"	0	0.0280472911636983	0.023444218733028	1984-02-13	0	0	0	0	0	0	1	0
"33"	0	0.0280528362561634	0.0234551726423441	1984-02-14	0	0	0	0	0	0	1	0
"34"	0.00873367996875463	0.0280528362561634	0.0234551726423441	1984-02-15	0	0	0	0	0	0	1	0
"35"	0	0.0278485564651308	0.0232968045992581	1984-02-16	0	0	0	0	0	0	1	0
"36"	0	0.0276252692134771	0.0230972812779898	1984-02-17	0	0	0	0	0	0	1	0
"37"	0	0.0271600444630666	0.0226883010021227	1984-02-21	0	0	0	0	0	0	1	0
"38"	-0.00873367996875455	0.0271600444630666	0.0226883010021227	1984-02-22	0	0	0	0	0	0	1	0
"39"	0	0.027228671597078	0.0227514849391573	1984-02-23	0	0	0	0	0	0	1	0
"40"	0	0.027228671597078	0.0227514849391573	1984-02-24	0	0	0	0	0	0	1	0
"41"	0	0.027228671597078	0.0227514849391573	1984-02-27	0	0	0	0	0	0	1	0
"42"	0	0.027228671597078	0.0227514849391573	1984-02-28	0	0	0	0	0	0	1	0
"43"	0	0.027228671597078	0.0227514849391573	1984-02-29	0	0	0	0	0	0	1	0
"44"	0	0.027228671597078	0.0227514849391573	1984-03-01	0	0	0	0	0	0	1	0
"45"	0.00873367996875463	0.027228671597078	0.0227514849391573	1984-03-02	0	0	0	0	0	0	1	0
"46"	0	0.0272204552061564	0.0227389520535257	1984-03-05	0	0	0	0	0	0	1	0
"47"	-0.00873367996875455	0.0272204552061564	0.0227389520535257	1984-03-06	0	0	0	0	0	0	1	0
"48"	0	0.0272890090546898	0.022802074544759	1984-03-07	0	0	0	0	0	0	1	0
"49"	0.00873367996875463	0.0270421746076712	0.0225821927001245	1984-03-08	0	0	0	0	0	0	1	0
"50"	0	0.0261617137258679	0.0218116791567524	1984-03-09	0	0	0	0	0	0	1	0
"51"	0	0.0261617137258679	0.0218116791567524	1984-03-12	0	0	0	0	0	0	1	0
"52"	0	0.0261617137258679	0.0218116791567524	1984-03-13	0	0	0	0	0	0	1	0
"53"	0	0.0261617137258679	0.0218116791567524	1984-03-14	0	0	0	0	0	0	1	0
"54"	0	0.0260669260250218	0.0217253665418252	1984-03-15	0	0	0	0	0	0	1	0
"55"	0.00865806274311453	0.0257763500463962	0.0214678369409071	1984-03-16	0	0	0	0	0	0	1	0
"56"	0.00858374369139144	0.0257660668607592	0.0214536200282808	1984-03-19	0	0	0	0	0	0	1	0
"57"	0	0.0257553449005789	0.0214390832542054	1984-03-20	0	0	0	0	0	0	1	0
"58"	0.0253178079842898	0.0256670683815263	0.0213789660864763	1984-03-21	0	0	0	0	0	0	1	0
"59"	0.00829880281469506	0.0258102727622773	0.0214826740716734	1984-03-22	0	0	0	0	0	0	1	0
"60"	0	0.0257985264003498	0.0214674625287897	1984-03-23	0	0	0	0	0	0	1	0
"61"	0.00823049913651544	0.0255038415830596	0.0212064878949558	1984-03-26	0	0	0	0	0	0	1	0
"62"	0	0.0254962107092714	0.0212017573541651	1984-03-27	0	0	0	0	0	0	1	0
"63"	0	0.0255011434619574	0.0212128047270801	1984-03-28	0	0	0	0	0	0	1	0
"64"	0.0242926925690445	0.0255060937918435	0.0212237936982037	1984-03-29	0	0	0	0	0	0	1	0
"65"	0	0.0256311846724613	0.0213129769723995	1984-03-30	0	0	0	0	0	0	1	0
"66"	0	0.0256372906600071	0.0213248632907161	1984-04-02	0	0	0	0	0	0	1	0
"67"	0	0.0256372906600071	0.0213248632907161	1984-04-03	0	0	0	0	0	0	1	0
"68"	-0.0242926925690446	0.0256433934846462	0.0213366768337041	1984-04-04	0	0	0	0	0	0	1	0
"69"	0	0.0260015121187217	0.021652637888403	1984-04-05	0	0	0	0	0	0	1	0
