""	"X"	"ES"	"VAR"	"Date"	"P1"	"P2"	"P3"	"P4"	"P5"	"P6"	"Scale"	"Location"
"1"	-0.00223965774616305	0.0485082464173417	0.0315625312193856	1983-12-29	0	0	0	0	0	0	1	0
"2"	0	0.0479464143343071	0.0312519207392376	1983-12-30	0	0	0	0	0	0	1	0
"3"	-0.00224468507458419	0.0477719156068612	0.031115957257504	1984-01-03	0	0	0	0	0	0	1	0
"4"	-0.00902935412551312	0.0467025813859808	0.0304847680356642	1984-01-04	0	0	0	0	0	0	1	0
"5"	0.00902935412551311	0.0467622627819322	0.0305318516254713	1984-01-05	0	0	0	0	0	0	1	0
"6"	-0.0204320634694854	0.0467407643470707	0.0305242379254185	1984-01-06	0	0	0	0	0	0	1	0
"7"	-0.00459774064545764	0.0470050471720464	0.0307228067010174	1984-01-09	0	0	0	0	0	0	1	0
"8"	0.011454956930443	0.0470559905146144	0.030772185907296	1984-01-10	0	0	0	0	0	0	1	0
"9"	0	0.0469911162092531	0.0307043621081485	1984-01-11	0	0	0	0	0	0	1	0
"10"	0	0.0469668180855718	0.0306835043102893	1984-01-12	0	0	0	0	0	0	1	0
"11"	0	0.0469807384969978	0.0306974546502297	1984-01-13	0	0	0	0	0	0	1	0
"12"	-0.0045662489477853	0.0469807384969978	0.0306974546502297	1984-01-16	0	0	0	0	0	0	1	0
"13"	-0.00229096733720012	0.0467078209704315	0.03049354748307	1984-01-17	0	0	0	0	0	0	1	0
"14"	0	0.0467328893386895	0.030527552545304	1984-01-18	0	0	0	0	0	0	1	0
"15"	-0.00229622792267588	0.0467081788137009	0.0305063702620828	1984-01-19	0	0	0	0	0	0	1	0
"16"	-0.00230151272278175	0.0451291867641925	0.0293853465433105	1984-01-20	0	0	0	0	0	0	1	0
"17"	-0.00693637482214515	0.0451322209661907	0.0294103344934051	1984-01-23	0	0	0	0	0	0	1	0
"18"	-0.00698494201260869	0.0451803950350442	0.029471276074092	1984-01-24	0	0	0	0	0	0	1	0
"19"	0.00930245583661377	0.0451976825612974	0.0295162267646135	1984-01-25	0	0	0	0	0	0	1	0
"20"	-0.0093024558366138	0.0452014339014044	0.0295158011447318	1984-01-26	0	0	0	0	0	0	1	0
"21"	0.00930245583661377	0.04505140691238	0.029404456556481	1984-01-27	0	0	0	0	0	0	1	0
"22"	-0.0281709502239886	0.044789611973113	0.029193396972594	1984-01-30	0	0	0	0	0	0	1	0
"23"	0.00237813863515183	0.0452957855974377	0.0295679895959709	1984-01-31	0	0	0	0	0	0	1	0
"24"	0	0.0451696418886797	0.0294660122242592	1984-02-01	0	0	0	0	0	0	1	0
"25"	0.00710066978078321	0.0451772531056555	0.0294859128181904	1984-02-02	0	0	0	0	0	0	1	0
"26"	-0.0335762810525478	0.0446835216343714	0.0292008131747017	1984-02-03	0	0	0	0	0	0	1	0
"27"	0	0.0453624960437744	0.0296976529380123	1984-02-06	0	0	0	0	0	0	1	0
"28"	0.0217136649736805	0.0453624960437744	0.0296976529380123	1984-02-07	0	0	0	0	0	0	1	0
"29"	-0.00238938333392644	0.0452605611296407	0.0296380476678341	1984-02-08	0	0	0	0	0	0	1	0
